wavelength,strain,replicat_bio,term,estimate,std.error,statistic,p.value,dil_name,replicate,chl_real,dc,blanc,dc_zero,y_pos,coeff
e440,PCC9511,A,dc_zero,0.10855335805965563,0.0014901324796763626,72.84812561312133,2.4158249378657223e-11,dilution_0,1,27.266000000000005,325.44642857142856,71.375,254.07142857142858,196.9292240065049,0.109
e440,PCC9511,A,dc_zero,0.10855335805965563,0.0014901324796763626,72.84812561312133,2.4158249378657223e-11,dilution_0,2,27.266000000000005,324.09090909090907,71.375,252.7159090909091,196.9292240065049,0.109
e440,PCC9511,A,dc_zero,0.10855335805965563,0.0014901324796763626,72.84812561312133,2.4158249378657223e-11,dilution_0,3,27.266000000000005,322.2692307692308,71.375,250.89423076923077,196.9292240065049,0.109
e440,PCC9511,A,dc_zero,0.10855335805965563,0.0014901324796763626,72.84812561312133,2.4158249378657223e-11,dilution_1,1,5.453200000000001,113.73684210526316,71.375,42.36184210526316,196.9292240065049,0.109
e440,PCC9511,A,dc_zero,0.10855335805965563,0.0014901324796763626,72.84812561312133,2.4158249378657223e-11,dilution_1,2,5.453200000000001,112.84905660377359,71.375,41.47405660377358,196.9292240065049,0.109
e440,PCC9511,A,dc_zero,0.10855335805965563,0.0014901324796763626,72.84812561312133,2.4158249378657223e-11,dilution_1,3,5.453200000000001,112.01785714285714,71.375,40.642857142857146,196.9292240065049,0.109
e440,PCC9511,A,dc_zero,0.10855335805965563,0.0014901324796763626,72.84812561312133,2.4158249378657223e-11,dilution_2,1,0.2723876123876124,76.94642857142857,71.375,5.571428571428571,196.9292240065049,0.109
e440,PCC9511,A,dc_zero,0.10855335805965563,0.0014901324796763626,72.84812561312133,2.4158249378657223e-11,dilution_2,3,0.2723876123876124,76.77272727272727,71.375,5.3977272727272725,196.9292240065049,0.109
e440,PCC9511,B,dc_zero,0.021928013972472328,3.306023015565246e-4,66.32746919556213,1.4749578675776953e-8,dilution_1,1,5.05262155,313.23214285714283,82.83928571428571,230.39285714285714,153.91139514860276,0.022
e440,PCC9511,B,dc_zero,0.021928013972472328,3.306023015565246e-4,66.32746919556213,1.4749578675776953e-8,dilution_1,2,5.05262155,310.6666666666667,82.83928571428571,227.82738095238093,153.91139514860276,0.022
e440,PCC9511,B,dc_zero,0.021928013972472328,3.306023015565246e-4,66.32746919556213,1.4749578675776953e-8,dilution_1,3,5.05262155,310.2637362637363,82.83928571428571,227.42445054945054,153.91139514860276,0.022
e440,PCC9511,B,dc_zero,0.021928013972472328,3.306023015565246e-4,66.32746919556213,1.4749578675776953e-8,dilution_2,1,1.0637098,138.3684210526316,82.83928571428571,55.529135338345874,153.91139514860276,0.022
e440,PCC9511,B,dc_zero,0.021928013972472328,3.306023015565246e-4,66.32746919556213,1.4749578675776953e-8,dilution_2,2,1.0637098,139.27777777777777,82.83928571428571,56.43849206349207,153.91139514860276,0.022
